date,day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system,greatest losses direction,vehicles and fuel tanks,cruise missiles
2/25/2022,2,10,7,80,516,49,4,100,60,0,2,0,10,2,Bakhmut and Donetsk,1796,94
2/26/2022,3,27,26,146,706,49,4,130,60,2,2,0,10,4,Bakhmut and Donetsk,1824,94
2/27/2022,4,27,26,150,706,50,4,130,60,2,2,0,10,4,Izyum,1843,95
2/28/2022,5,29,29,150,816,74,21,291,60,3,2,5,10,4,Bakhmut and Donetsk,1867,95
3/1/2022,6,29,29,198,846,77,24,305,60,3,2,7,10,4,Bakhmut and Donetsk,1843,95
3/2/2022,7,30,31,211,862,85,40,355,60,3,2,9,10,4,Bakhmut and Donetsk,1867,97
3/3/2022,8,30,31,217,900,90,42,374,60,3,2,11,10,4,Bakhmut and Donetsk,1907,97
3/4/2022,9,33,37,251,939,105,50,404,60,3,2,18,10,4,Izyum,1926,102
3/5/2022,10,39,40,269,945,105,50,409,60,3,2,19,10,4,Bakhmut and Donetsk,1934,103
3/6/2022,11,44,48,285,985,109,50,447,60,4,2,21,10,4,Bakhmut and Donetsk,1961,103
3/7/2022,12,46,68,290,999,117,50,454,60,7,3,23,10,4,Bakhmut and Donetsk,1970,104
3/8/2022,13,48,80,303,1036,120,56,474,60,7,3,27,10,4,Bakhmut and Donetsk,1980,107
3/9/2022,14,49,81,317,1070,120,56,482,60,7,3,28,10,4,Izyum,1997,110
3/10/2022,15,49,81,335,1105,123,56,526,60,7,3,29,10,4,Bakhmut and Donetsk,2019,104
3/11/2022,16,57,83,353,1165,125,58,558,60,7,3,31,10,2,Bakhmut and Donetsk,2042,107
3/12/2022,17,58,83,362,1205,135,62,585,60,7,3,33,10,4,"Sloviansk, Kryvyi Rih and Zaporizhzhia",2059,110
3/13/2022,18,74,86,374,1226,140,62,600,60,7,3,34,10,4,Izyum,1907,
3/14/2022,19,77,90,389,1249,150,64,617,60,8,3,34,10,4,"Sloviansk, Kryvyi Rih and Zaporizhzhia",1926,94
3/15/2022,20,81,95,404,1279,150,64,640,60,9,3,36,10,4,Izyum,1934,94
3/16/2022,21,84,108,430,1375,190,70,819,60,11,3,43,10,4,"Sloviansk, Kryvyi Rih and Zaporizhzhia",1961,95
3/17/2022,22,86,108,444,1435,201,72,864,60,11,3,43,10,4,Izyum,1970,95
3/18/2022,23,93,112,450,1448,205,72,879,60,12,3,43,11,4,Izyum,1980,95
3/19/2022,24,95,115,466,1470,213,72,914,60,17,3,44,11,4,"Sloviansk, Kryvyi Rih and Zaporizhzhia",1997,97
3/20/2022,25,96,118,476,1487,230,74,947,60,21,3,44,12,4,Izyum,2019,97
3/21/2022,26,97,121,498,1535,240,80,969,60,24,3,45,13,4,Izyum,2042,102
3/22/2022,27,99,123,509,1556,252,80,1000,70,35,3,45,15,4,Izyum,2059,103
3/23/2022,28,101,124,517,1578,267,80,1008,70,42,4,47,15,4,"Sloviansk, Kryvyi Rih and Zaporizhzhia",1867,103
3/24/2022,29,108,124,530,1597,280,82,1033,72,50,4,47,16,4,"Sloviansk, Kryvyi Rih and Zaporizhzhia",1907,104
3/25/2022,30,115,125,561,1625,291,90,1089,72,53,5,49,18,,"Sloviansk, Kryvyi Rih and Zaporizhzhia",1926,107
3/26/2022,31,117,127,575,1640,293,91,1131,73,56,7,51,19,2,Bakhmut and Donetsk,1934,110
3/27/2022,32,121,127,582,1664,294,93,1144,73,56,7,52,21,4,Izyum,1961,94
3/28/2022,33,123,127,586,1694,302,95,1150,73,66,7,54,21,4,Bakhmut and Donetsk,1970,94
3/29/2022,34,127,129,597,1710,303,96,1178,73,71,7,54,21,4,"Sloviansk, Kryvyi Rih and Zaporizhzhia",1980,95
3/30/2022,35,131,131,605,1723,305,96,1184,75,81,7,54,21,4,Izyum,1997,95
3/31/2022,36,135,131,614,1735,311,96,1201,75,83,7,54,22,4,Bakhmut and Donetsk,2019,95
4/1/2022,37,143,131,625,1751,316,96,1220,76,85,7,54,24,4,Izyum,2042,97
4/2/2022,38,143,134,631,1776,317,100,1236,76,87,7,54,24,4,Izyum,2059,97
4/3/2022,39,143,134,644,1830,325,105,1249,76,89,7,54,24,4,Izyum,1824,102
4/4/2022,40,147,134,647,1844,330,107,1273,76,91,7,54,25,4,Izyum,1843,103
4/5/2022,41,150,134,676,1858,332,107,1322,76,94,7,55,25,4,Izyum,1867,103
4/6/2022,42,150,135,684,1861,332,107,1324,76,96,7,55,25,4,Izyum,1907,104
4/7/2022,43,150,135,698,1891,332,108,1358,76,111,7,55,25,4,Izyum,1926,107
4/8/2022,44,150,135,700,1891,333,108,1361,76,112,7,55,25,4,Izyum,1934,110
4/9/2022,45,151,136,705,1895,335,108,1363,76,112,7,55,25,4,Izyum,1961,
4/10/2022,46,152,137,722,1911,342,108,1384,76,112,7,55,25,4,Izyum,1970,
4/11/2022,47,154,137,725,1923,347,111,1387,76,119,7,55,25,4,Izyum,1980,103
4/12/2022,48,157,140,732,1946,349,111,1406,76,124,7,63,25,4,Izyum,1997,103
4/13/2022,49,158,143,739,1964,358,115,1429,76,132,7,64,25,4,Izyum,2019,104
4/14/2022,50,160,144,753,1968,366,122,1437,76,134,7,64,25,4,Izyum,2042,107
4/15/2022,51,163,144,756,1976,366,122,1443,76,135,8,66,25,4,Izyum,2059,110
4/16/2022,52,163,145,762,1982,371,125,1458,76,138,8,66,26,4,Izyum,1961,
4/17/2022,53,165,146,773,2002,376,127,1471,76,148,8,66,27,4,Izyum,1970,
4/18/2022,54,167,147,790,2041,381,130,1487,76,155,8,67,27,4,Izyum,1980,0
4/19/2022,55,169,150,802,2063,386,132,1495,76,158,8,67,27,4,Izyum,1997,84
4/20/2022,56,171,150,815,2087,391,136,1504,76,165,8,67,27,4,Izyum,2019,84
4/21/2022,57,172,151,829,2118,393,136,1508,76,166,8,67,27,4,Izyum,2042,87
4/22/2022,58,176,153,838,2162,397,138,1523,76,172,8,69,27,4,Izyum,2059,89
4/23/2022,59,177,154,854,2205,403,143,1543,76,182,8,69,27,4,Izyum,,90
4/24/2022,60,179,154,873,2238,408,147,1557,76,191,8,69,28,4,Izyum,,90
4/25/2022,61,181,154,884,2258,411,149,1566,76,201,8,69,28,4,Sievierodonetsk,,92
4/26/2022,62,184,154,918,2308,416,149,1643,76,205,8,69,31,4,Sievierodonetsk,,94
4/27/2022,63,185,155,939,2342,421,149,1666,76,207,8,71,31,4,Kurakhove and Izyum,,94
4/28/2022,64,187,155,970,2389,431,151,1688,76,215,8,72,31,4,Zaporizhzhia and Izyum,,94
4/29/2022,65,189,155,986,2418,435,151,1695,76,229,8,73,31,4,Izyum,,94
4/30/2022,66,190,155,1008,2445,436,151,1701,76,232,8,77,32,4,Izyum,,95
5/1/2022,67,192,155,1026,2471,451,151,1688,76,245,8,80,32,,Izyum,1796,95
5/2/2022,68,194,155,1048,2519,459,152,1688,76,271,8,80,38,4,Izyum,1824,95
